id,name,created_at,updated_at,parent_id
191,パンツ/スパッツ,2019-12-3 12:00:00,2019-12-4 12:00:00,186
192,スカート,2019-12-3 12:00:00,2019-12-4 12:00:00,186
193,パジャマ,2019-12-3 12:00:00,2019-12-4 12:00:00,186
194,授乳服,2019-12-3 12:00:00,2019-12-4 12:00:00,186
195,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,1
196,コスプレ,2019-12-3 12:00:00,2019-12-4 12:00:00,195
197,下着,2019-12-3 12:00:00,2019-12-4 12:00:00,195
198,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,195
199,メンズ,2019-12-3 12:00:00,2019-12-4 12:00:00,
200,トップス,2019-12-3 12:00:00,2019-12-4 12:00:00,199
201,Tシャツ/カットソー(半袖/袖なし),2019-12-3 12:00:00,2019-12-4 12:00:00,200
202,Tシャツ/カットソー(七分/長袖),2019-12-3 12:00:00,2019-12-4 12:00:00,200
203,シャツ,2019-12-3 12:00:00,2019-12-4 12:00:00,200
204,ポロシャツ,2019-12-3 12:00:00,2019-12-4 12:00:00,200
205,タンクトップ,2019-12-3 12:00:00,2019-12-4 12:00:00,200
206,ニット/セーター,2019-12-3 12:00:00,2019-12-4 12:00:00,200
207,パーカー,2019-12-3 12:00:00,2019-12-4 12:00:00,200
208,カーディガン,2019-12-3 12:00:00,2019-12-4 12:00:00,200
209,スウェット,2019-12-3 12:00:00,2019-12-4 12:00:00,200
210,ジャージ,2019-12-3 12:00:00,2019-12-4 12:00:00,200
211,ベスト,2019-12-3 12:00:00,2019-12-4 12:00:00,200
212,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,200
213,ジャケット/アウター,2019-12-3 12:00:00,2019-12-4 12:00:00,199
214,テーラードジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
215,ノーカラージャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
216,Gジャン/デニムジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
217,レザージャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
218,ダウンジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
219,ライダースジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
220,ミリタリージャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
221,ナイロンジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
222,フライトジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,213
223,ダッフルコート,2019-12-3 12:00:00,2019-12-4 12:00:00,213
224,ピーコート,2019-12-3 12:00:00,2019-12-4 12:00:00,213
225,ステンカラーコート,2019-12-3 12:00:00,2019-12-4 12:00:00,213
226,トレンチコート,2019-12-3 12:00:00,2019-12-4 12:00:00,213
227,モッズコート,2019-12-3 12:00:00,2019-12-4 12:00:00,213
228,チェスターコート,2019-12-3 12:00:00,2019-12-4 12:00:00,213
229,スタジャン,2019-12-3 12:00:00,2019-12-4 12:00:00,213
230,スカジャン,2019-12-3 12:00:00,2019-12-4 12:00:00,213
231,ブルゾン,2019-12-3 12:00:00,2019-12-4 12:00:00,213
232,マウンテンパーカー,2019-12-3 12:00:00,2019-12-4 12:00:00,213
233,ダウンベスト,2019-12-3 12:00:00,2019-12-4 12:00:00,213
234,ポンチョ,2019-12-3 12:00:00,2019-12-4 12:00:00,213
235,カバーオール,2019-12-3 12:00:00,2019-12-4 12:00:00,213
236,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,213
237,パンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,199
238,デニム/ジーンズ,2019-12-3 12:00:00,2019-12-4 12:00:00,237
239,ワークパンツ/カーゴパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,237
240,スラックス,2019-12-3 12:00:00,2019-12-4 12:00:00,237
241,チノパン,2019-12-3 12:00:00,2019-12-4 12:00:00,237
242,ショートパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,237
243,ペインターパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,237
244,サルエルパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,237
245,オーバーオール,2019-12-3 12:00:00,2019-12-4 12:00:00,237
246,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,237
247,靴,2019-12-3 12:00:00,2019-12-4 12:00:00,199
248,スニーカー,2019-12-3 12:00:00,2019-12-4 12:00:00,247
249,サンダル,2019-12-3 12:00:00,2019-12-4 12:00:00,247
250,ブーツ,2019-12-3 12:00:00,2019-12-4 12:00:00,247
251,モカシン,2019-12-3 12:00:00,2019-12-4 12:00:00,247
252,ドレス/ビジネス,2019-12-3 12:00:00,2019-12-4 12:00:00,247
253,長靴/レインシューズ,2019-12-3 12:00:00,2019-12-4 12:00:00,247
254,デッキシューズ,2019-12-3 12:00:00,2019-12-4 12:00:00,247
255,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,247
256,バッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,199
257,ショルダーバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
258,トートバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
259,ボストンバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
260,リュック/バックパック,2019-12-3 12:00:00,2019-12-4 12:00:00,256
261,ウエストポーチ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
262,ボディーバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
263,ドラムバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
264,ビジネスバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
265,トラベルバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
266,メッセンジャーバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
267,エコバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,256
